TimeStamp,Q1,Q2,Q3,Q4,
2018/09/21 13:09:35,5,5,5,5,
2018/09/21 13:37:00,5,5,5,5,
2018/09/21 13:52:21,3,5,5,4,
2018/09/21 14:09:42,2,2,5,3,
2018/09/21 14:24:48,2,2,5,3,
2018/09/21 14:39:36,5,4,4,4,
2018/09/21 14:54:36,4,5,5,5,
2018/09/21 15:09:26,5,5,5,5,
2018/09/21 15:24:41,4,3,3,3,
2018/09/21 15:41:01,3,2,3,3,
2018/09/21 15:54:31,3,3,3,3,
2018/09/21 16:13:19,1,1,2,4,
2018/09/21 16:24:42,3,5,3,5,
2018/09/21 16:40:53,4,4,3,2,
2018/09/21 16:55:37,3,2,4,3,
2018/09/21 17:12:02,2,1,3,2,
2018/09/21 17:30:35,1,1,3,3,
2018/09/21 17:39:37,2,2,3,3,
2018/09/21 17:56:01,1,2,2,2,
2018/09/21 18:11:19,1,1,1,4,
2018/09/21 18:36:20,5,5,1,4,
2018/09/21 18:54:51,5,5,5,2,
2018/09/21 19:17:03,1,1,1,1,
2018/09/21 19:33:49,1,1,1,1,
