TimeStamp,clickCNTL,clickCNTR,clickCNTM,MouseDisplacement,MouseSpeedMax,MouseWheelAmount,KeyTypeCNT,KeyTypeDelCNT,KeyTypeBackCNT,KeyTypeEnterCNT,Curvature,AppName,FFT0,FFT1,Compass,Posture_RightLeft,Posture_Rear,Posture_Front,Sag,Rotation,SittingStatus,Memo,
2018/09/24 17:14:05,0,0,0,2887,1959,0,0,0,0,0,23,Datalogging,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,memo,
2018/09/24 17:14:10,5,0,0,394,74,0,0,0,0,0,52.5,Datalogging,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,memo,
2018/09/24 17:14:15,1,0,0,91,9,0,0,0,0,0,49.3,Datalogging,0,0,361,0.54,0.25,0.52,0,0.03,1.04,memo,
2018/09/24 17:14:20,1,0,0,3144,465,0,0,0,0,0,43.4,vivaldi,0,0,245,0.46,0.22,0.33,0,0.02,0.42,memo,
2018/09/24 17:14:25,0,0,0,415,57,0,0,0,0,0,11.2,vivaldi,0,0,275,0.43,0.22,0.36,0,0.07,0.66,memo,
2018/09/24 17:14:31,0,0,0,3,1,0,0,0,0,0,6.3,vivaldi,0,0,283,0.47,0.22,0.36,0,0.02,0.59,memo,
2018/09/24 17:14:36,1,0,0,783,122,0,0,0,0,0,13.9,vivaldi,0,0,337,0.5,0.23,0.48,0,0,0.97,memo,
2018/09/24 17:14:41,1,0,2,4148,530,0,0,0,0,0,51.3,POWERPNT,0,0,326,0.5,0.23,0.48,0,0,0.97,memo,
2018/09/24 17:14:47,0,0,0,952,502,0,0,0,0,0,19,POWERPNT,0,0,309,0.48,0.23,0.42,0,0.01,0.72,memo,
2018/09/24 17:14:52,1,0,0,3715,445,0,0,0,0,0,50.8,POWERPNT,0,0,317,0.5,0.25,0.46,0,0.02,0.79,memo,
2018/09/24 17:14:57,2,0,0,6325,1861,0,0,0,0,0,43.2,POWERPNT,0,0,291,0.49,0.2,0.45,0,0.03,0.68,memo,
2018/09/24 17:15:02,0,0,0,648,54,0,0,0,0,0,21.8,POWERPNT,0,0,347,0.52,0.24,0.5,0,0.03,1,memo,
2018/09/24 17:15:07,0,0,0,583,33,0,0,0,0,0,42.9,POWERPNT,0,0,348,0.52,0.24,0.5,0,0.27,1,memo,
2018/09/24 17:15:12,0,0,0,614,72,0,0,0,0,0,69.1,POWERPNT,0,0,270,0.46,0.33,0.32,0.1,25.62,0.59,memo,
2018/09/24 17:15:17,0,0,0,2359,169,0,0,0,0,0,30.1,POWERPNT,0,0,309,0.52,0.21,0.44,0,0.07,0.78,memo,
2018/09/24 17:15:23,1,0,0,2485,365,0,0,0,0,0,34.7,POWERPNT,0,0,348,0.52,0.23,0.5,-0.3,0.04,3,memo,
2018/09/24 17:15:28,1,0,0,206,26,0,0,1,0,0,19.5,POWERPNT,0,0,348,0.52,0.23,0.5,0,0.03,1,memo,
2018/09/24 17:15:33,0,0,0,877,116,0,0,0,0,0,29.7,POWERPNT,0,0,348,0.52,0.23,0.5,0,0.04,1,memo,
2018/09/24 17:15:38,0,0,0,149,31,0,0,0,0,0,19.2,POWERPNT,0,0,348,0.52,0.23,0.5,0,-0.01,1,memo,
2018/09/24 17:15:43,0,0,0,431,72,0,0,0,0,0,30.4,POWERPNT,0,0,284,0.48,0.21,0.39,0,0.01,0.61,memo,
2018/09/24 17:15:48,0,0,0,51,5,0,0,0,0,0,25.1,POWERPNT,0,0,348,0.52,0.23,0.5,0,0,1,memo,
2018/09/24 17:15:53,0,0,0,153,25,0,0,0,0,0,25.9,POWERPNT,0,0,249,0.43,0.19,0.32,0,0.07,0.48,memo,
2018/09/24 17:15:58,1,0,0,791,109,0,0,0,0,0,20.6,POWERPNT,0,0,315,0.49,0.2,0.44,0,0.02,0.88,memo,
2018/09/24 17:16:03,0,0,0,764,176,0,0,0,0,0,35.1,POWERPNT,0,0,336,0.5,0.22,0.48,0,0,0.94,memo,
2018/09/24 17:16:08,0,0,0,775,106,0,0,0,0,0,15.5,POWERPNT,0,0,348,0.52,0.23,0.5,0,0,1,memo,
