TimeStamp,Q1,Q2,Q3,Q4,
2018/06/26 10:17:53,1,3,3,3,
2018/06/26 10:32:52,3,4,3,4,
2018/06/26 10:32:54,3,4,3,4,
2018/06/26 10:54:48,3,4,3,2,
2018/06/26 11:18:09,4,4,3,4,
2018/06/26 11:32:51,3,3,3,2,
2018/06/26 11:47:53,2,2,3,2,
2018/06/26 12:05:18,3,3,3,3,
2018/06/26 14:47:59,3,3,3,2,
2018/06/26 15:02:50,4,4,3,2,
2018/06/26 15:17:50,4,4,3,2,
2018/06/26 15:32:55,4,5,3,4,
2018/06/26 15:47:52,3,3,3,3,
2018/06/26 16:02:57,2,2,3,2,
2018/06/26 16:24:09,3,3,3,3,
2018/06/26 16:47:48,4,3,3,3,
2018/06/26 17:02:51,3,3,3,4,
2018/06/26 17:17:49,4,4,3,3,
2018/06/26 17:32:58,3,4,3,3,
2018/06/26 17:47:49,4,4,3,3,
2018/06/26 18:02:49,4,4,3,4,
2018/06/26 18:17:52,5,4,3,5,
2018/06/26 18:32:54,4,4,3,4,
