TimeStamp,clickCNTL,clickCNTR,clickCNTM,MouseDisplacement,MouseSpeedMax,MouseWheelAmount,KeyTypeCNT,KeyTypeDelCNT,KeyTypeBackCNT,KeyTypeEnterCNT,Curvature,AppName,FFT0,FFT1,Compass,Posture_RightLeft,Posture_Rear,Posture_Front,Sag,Rotation,SittingStatus,Memo,
2018/07/03 10:05:25,0,0,0,935,622,0,0,0,0,0,5.8,Datalogging,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,memo,
2018/07/03 10:05:30,0,0,0,294,45,0,0,0,0,0,29.7,Datalogging,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,memo,
2018/07/03 10:05:35,0,0,0,0,0,0,0,0,0,0,0,Datalogging,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,memo,
2018/07/03 10:05:40,0,0,0,0,0,0,0,0,0,0,0,Datalogging,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,memo,
2018/07/03 10:05:45,0,0,0,0,0,0,0,0,0,0,0,Datalogging,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,memo,
2018/07/03 10:05:51,0,0,0,0,0,0,0,0,0,0,0,Datalogging,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,memo,
2018/07/03 10:05:56,0,0,0,0,0,0,0,0,0,0,0,Datalogging,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,memo,
2018/07/03 10:06:01,0,0,0,0,0,0,0,0,0,0,0,Datalogging,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,memo,
2018/07/03 10:06:06,0,0,0,3131,756,0,0,0,0,0,25.1,SearchUI,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,memo,
2018/07/03 10:06:11,0,0,0,228,36,0,0,0,0,0,9,explorer,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,memo,
2018/07/03 10:06:16,1,0,0,1319,324,0,0,0,0,0,14.8,CredentialUIBroker,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,memo,
2018/07/03 10:06:21,1,0,0,2640,275,0,0,0,0,0,35.2,CredentialUIBroker,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,memo,
2018/07/03 10:06:26,1,0,0,1754,119,0,0,0,0,0,47.1,CredentialUIBroker,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,memo,
2018/07/03 10:06:31,0,0,0,421,32,0,0,0,0,0,42.5,CredentialUIBroker,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,memo,
2018/07/03 10:06:36,0,0,0,29,11,0,0,0,0,0,6.6,CredentialUIBroker,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,memo,
2018/07/03 10:06:41,0,0,0,718,223,0,0,0,0,0,3.3,CredentialUIBroker,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,memo,
2018/07/03 10:06:46,0,0,0,38,7,0,0,0,0,0,25.3,CredentialUIBroker,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,memo,
2018/07/03 10:06:51,0,0,0,748,120,0,0,0,0,0,10.8,CredentialUIBroker,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,memo,
2018/07/03 10:06:56,2,0,0,814,130,0,0,0,0,0,39,CredentialUIBroker,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,memo,
2018/07/03 10:07:01,0,0,0,4866,524,0,0,0,0,0,45,CredentialUIBroker,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,memo,
2018/07/03 10:07:06,2,0,0,6713,653,0,0,0,0,0,97.1,ApplicationFrameHost,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,memo,
2018/07/03 10:07:11,1,0,0,278,105,0,0,0,0,0,11.5,Datalogging,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,memo,
2018/07/03 10:07:16,0,0,0,0,0,0,0,0,0,0,0,Datalogging,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,memo,
