TimeStamp,Q1,Q2,Q3,Q4,
2018/07/10 10:49:40,1,1,2,2,
2018/07/10 11:05:18,2,3,2,2,
2018/07/10 11:21:57,1,1,1,1,
2018/07/10 11:37:53,1,1,1,1,
2018/07/10 12:07:56,3,3,3,2,
2018/07/10 13:15:49,2,2,3,3,
2018/07/10 13:39:01,2,2,3,3,
2018/07/10 13:54:14,3,4,4,4,
2018/07/10 14:09:38,3,4,4,4,
2018/07/10 14:24:49,4,4,4,4,
2018/07/10 14:48:57,5,5,3,4,
2018/07/10 14:55:28,5,5,3,3,
2018/07/10 15:25:54,5,5,4,4,
2018/07/10 15:41:06,4,4,4,3,
2018/07/10 15:56:21,4,5,3,3,
2018/07/10 16:11:04,5,5,4,3,
2018/07/10 16:26:28,4,4,4,3,
2018/07/10 16:41:31,3,3,3,3,
