TimeStamp,clickCNTL,clickCNTR,clickCNTM,MouseDisplacement,MouseSpeedMax,MouseWheelAmount,KeyTypeCNT,KeyTypeDelCNT,KeyTypeBackCNT,KeyTypeEnterCNT,Curvature,AppName,FFT0,FFT1,Compass,Posture_RightLeft,Posture_Rear,Posture_Front,Sag,Rotation,SittingStatus,Memo,
2018/07/03 13:06:20,4,0,0,1884,812,0,0,0,0,0,57.4,Datalogging,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,memo,
2018/07/03 13:06:25,1,0,0,417,41,0,0,0,0,0,9.4,Datalogging,0,0,181,0.47,0.82,0.34,0.1,0.21,0,memo,
2018/07/03 13:06:30,0,0,0,240,80,0,0,0,0,0,5.6,Datalogging,0,0,200,0.48,0.96,0.44,0.2,0.33,0,memo,
2018/07/03 13:06:35,2,0,0,2002,337,0,0,0,0,0,25.6,explorer,0,0,149,0.43,0.64,0.33,0.1,0.2,0,memo,
2018/07/03 13:06:40,2,0,0,1721,625,0,0,0,0,0,23.3,Unity,0,0,219,0.5,0.97,0.48,0.2,0.33,0.03,memo,
2018/07/03 13:06:45,0,0,0,0,0,0,0,0,0,0,0,Unity,0,0,194,0.46,0.87,0.4,0.2,0.28,0,memo,
2018/07/03 13:06:50,0,0,0,1,1,0,0,0,0,0,0,Unity,0,0,155,0.41,0.69,0.33,0.2,0.18,0,memo,
2018/07/03 13:06:55,2,0,0,762,134,0,0,0,0,0,17.2,SwUSB,0,0,193,0.48,0.79,0.37,0.4,-1.06,0.06,memo,
2018/07/03 13:07:00,0,0,0,1,1,0,0,0,0,0,6.3,Unity,0,0,201,0.48,0.97,0.45,0.2,0.33,0,memo,
2018/07/03 13:07:05,0,0,0,1,1,0,0,0,0,0,6.3,Unity,0,0,139,0.75,0.61,0.25,0.8,0.17,0.04,memo,
2018/07/03 13:07:10,0,0,0,0,0,0,0,0,0,0,0,Unity,0,0,146,0.36,0.14,0.27,0.7,0.38,0.4,memo,
2018/07/03 13:07:15,0,0,0,0,0,0,0,0,0,0,0,Unity,0,0,195,0.66,0.34,0.5,0.2,0.29,1,memo,
2018/07/03 13:07:20,0,0,0,0,0,0,0,0,0,0,0,Unity,0,0,155,0.6,0.34,0.4,0.2,0.23,0.55,memo,
2018/07/03 13:07:25,0,0,0,0,0,0,0,0,0,0,0,Unity,0,0,196,0.68,0.35,0.5,0.2,0.34,1,memo,
2018/07/03 13:07:30,0,0,0,0,0,0,0,0,0,0,0,Unity,0,0,171,0.2,0.73,0.21,-0.1,2.58,0.56,memo,
2018/07/03 13:07:35,0,0,0,0,0,0,0,0,0,0,0,Unity,0,0,188,0.48,0.25,0.44,0.1,-0.09,0.66,memo,
2018/07/03 13:07:40,0,0,0,0,0,0,0,0,0,0,0,Unity,0,0,167,0.32,0.16,0.37,0.2,0.21,0.3,memo,
2018/07/03 13:07:45,0,0,0,0,0,0,0,0,0,0,0,Unity,0,0,194,0.45,0.22,0.46,0.2,0.31,0.88,memo,
2018/07/03 13:07:50,0,0,0,0,0,0,0,0,0,0,0,Unity,0,0,221,0.5,0.23,0.49,0.1,0.3,0.88,memo,
2018/07/03 13:07:55,0,0,0,0,0,0,0,0,0,0,0,Unity,0,0,154,0.43,0.21,0.33,0.2,0.23,0.48,memo,
2018/07/03 13:08:00,0,0,0,1,1,0,0,0,0,0,0,Unity,0,0,212,0.5,0.22,0.48,0.2,0.31,0.82,memo,
2018/07/03 13:08:05,0,0,0,0,0,0,0,0,0,0,0,Unity,0,0,139,0.38,0.28,0.31,0.2,0.22,0.4,memo,
2018/07/03 13:08:10,0,0,0,0,0,0,0,0,0,0,0,Unity,0,0,226,0.5,0.24,0.51,0.1,0.28,1,memo,
2018/07/03 13:08:15,0,0,0,0,0,0,0,0,0,0,0,Unity,0,0,213,0.45,0.24,0.45,0.3,0.42,0.88,memo,
2018/07/03 13:08:20,0,0,0,0,0,0,0,0,0,0,0,Unity,0,0,203,0.46,0.23,0.44,0.2,0.33,0.78,memo,
2018/07/03 13:08:25,0,0,0,444,263,0,0,0,0,0,3,Unity,0,0,227,0.5,0.24,0.51,2.2,0.56,1,memo,
2018/07/03 13:08:30,0,0,0,2324,266,0,0,0,0,0,60.1,Unity,0,0,216,0.48,0.23,0.49,-1.5,0.81,0.85,memo,
2018/07/03 13:08:35,0,0,0,1397,184,0,0,0,0,0,32.1,Datalogging,0,0,148,0.38,0.24,0.38,0.2,0.15,0.47,memo,
2018/07/03 13:08:40,0,0,0,0,0,0,0,0,0,0,0,Datalogging,0,0,230,0.5,0.24,0.52,0.2,0.36,1,memo,
2018/07/03 13:08:45,1,0,0,4641,303,0,0,0,0,0,33.2,Datalogging,0,0,152,0.45,0.17,0.32,0.3,0.19,0.35,memo,
2018/07/03 13:08:50,1,0,0,2282,182,0,0,0,0,0,33.8,Unity,0,0,189,0.46,0.23,0.39,0.2,0.08,0.61,memo,
2018/07/03 13:08:55,0,0,2,2118,150,0,0,0,0,0,54.7,Unity,0,0,227,0.5,0.24,0.51,0.2,0.33,1,memo,
2018/07/03 13:09:00,0,0,0,3674,325,0,0,0,0,0,33,Datalogging,0,0,178,0.43,0.2,0.38,0.4,0.33,0.62,memo,
2018/07/03 13:09:05,0,0,0,2184,258,0,0,0,0,0,16.5,Datalogging,0,0,229,0.5,0.24,0.51,0.1,0.32,1,memo,
2018/07/03 13:09:10,0,0,0,6690,961,0,2,0,0,0,51.3,chrome,0,0,192,0.47,0.2,0.43,0.2,0.25,0.65,memo,
2018/07/03 13:09:15,0,0,0,5,5,0,2,0,0,3,3.1,chrome,0,0,179,0.43,0.26,0.33,0.8,-0.78,0.59,memo,
2018/07/03 13:09:20,1,0,0,788,56,0,0,0,0,0,42.3,chrome,0,0,218,0.52,0.3,0.67,-0.1,1.8,0.85,memo,
2018/07/03 13:09:25,0,0,0,324,78,0,0,0,0,0,11.8,chrome,0,0,230,0.5,0.23,0.63,0.3,0.37,1,memo,
2018/07/03 13:09:30,0,0,0,0,0,0,0,0,0,0,0,chrome,0,0,230,0.5,0.23,0.63,0.2,0.34,1,memo,
2018/07/03 13:09:35,0,0,0,35,20,0,0,0,0,0,1.3,chrome,0,0,159,0.45,0.17,0.4,0.2,0.18,0.39,memo,
2018/07/03 13:09:40,0,0,0,416,52,0,0,0,0,0,28.1,chrome,0,0,216,0.48,0.22,0.6,0.2,0.38,0.97,memo,
2018/07/03 13:09:45,0,0,0,94,14,0,0,0,0,0,18.9,chrome,0,0,150,0.41,0.26,0.39,0.1,0.18,0.33,memo,
2018/07/03 13:09:50,0,0,0,113,22,0,0,0,0,0,11.4,chrome,0,0,226,0.48,0.24,0.58,0.3,0.42,0.94,memo,
2018/07/03 13:09:55,0,0,0,705,97,0,0,0,0,0,36,chrome,0,0,175,0.39,0.06,0.46,0.2,-0.26,0.55,memo,
2018/07/03 13:10:00,0,0,0,27,10,0,0,0,0,0,14.5,chrome,0,0,175,0.5,0.28,0.51,0.2,0.28,0.61,memo,
2018/07/03 13:10:05,0,0,0,0,0,0,0,0,0,0,0,chrome,0,0,171,0.43,0.2,0.47,0.2,0.3,0.67,memo,
2018/07/03 13:10:10,0,0,0,372,77,0,0,0,0,0,25.5,chrome,0,0,173,0.46,0.22,0.47,0.2,0.25,0.69,memo,
2018/07/03 13:10:15,0,0,0,1204,279,0,0,0,0,0,30,chrome,0,0,213,0.51,0.23,0.59,0.2,0.36,1,memo,
2018/07/03 13:10:20,1,0,0,1248,187,0,0,0,0,0,40.3,chrome,0,0,156,0.38,0.19,0.46,0.1,0.37,0.59,memo,
2018/07/03 13:10:25,0,0,0,3691,265,0,0,0,0,0,39.9,Unity,0,0,201,0.5,0.22,0.55,0.2,0.4,0.91,memo,
2018/07/03 13:10:30,1,0,0,1374,225,0,0,0,0,0,88.7,devenv,0,0,203,0.53,0.22,0.54,0.2,0.33,0.85,memo,
2018/07/03 13:10:35,0,0,0,1307,199,0,0,0,0,0,48.9,chrome,0,0,174,0.46,0.25,0.47,0.1,0.34,0.52,memo,
2018/07/03 13:10:40,0,0,0,1257,240,0,0,0,0,0,29.6,chrome,0,0,178,0.46,0.23,0.52,0.2,0.27,0.68,memo,
2018/07/03 13:10:45,0,0,0,713,157,0,0,0,0,0,7.3,devenv,0,0,210,0.52,0.22,0.56,0.2,0.34,0.94,memo,
2018/07/03 13:10:50,1,0,0,2113,290,0,0,0,0,1,25.6,devenv,0,0,136,0.45,0.17,0.23,0.4,0.23,0.27,memo,
2018/07/03 13:10:55,1,0,0,1597,134,0,0,0,0,0,51.7,devenv,0,0,218,0.5,0.23,0.52,0.2,0.35,1,memo,
2018/07/03 13:11:00,1,0,0,310,50,0,0,0,7,0,11.8,devenv,0,0,183,0.5,0.22,0.42,0.3,0.27,0.65,memo,
2018/07/03 13:11:05,1,0,0,657,129,0,3,0,0,0,39.1,devenv,0,0,185,0.44,0.22,0.42,0.2,0.32,0.65,memo,
2018/07/03 13:11:10,2,0,0,478,164,0,0,0,0,1,10.6,devenv,0,0,219,0.5,0.23,0.52,0.3,0.36,1,memo,
2018/07/03 13:11:15,0,0,0,0,0,0,0,0,0,0,0,devenv,0,0,161,0.42,0.21,0.39,0.2,0.27,0.54,memo,
2018/07/03 13:11:20,0,0,0,506,137,0,0,0,0,1,12.4,devenv,0,0,199,0.46,0.24,0.5,0.1,0.39,0.82,memo,
2018/07/03 13:11:25,1,0,0,1584,137,0,0,0,2,0,58.4,devenv,0,0,194,0.48,0.23,0.44,0.2,0.29,0.74,memo,
