TimeStamp,clickCNTL,clickCNTR,clickCNTM,MouseDisplacement,MouseSpeedMax,MouseWheelAmount,KeyTypeCNT,KeyTypeDelCNT,KeyTypeBackCNT,KeyTypeEnterCNT,Curvature,AppName,FFT0,FFT1,Compass,Posture_RightLeft,Posture_Rear,Posture_Front,Sag,Rotation,SittingStatus,Memo,
2018/10/02 13:50:05,0,0,0,1426,1025,0,0,0,0,0,5.5,Datalogging,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,memo,
2018/10/02 13:50:10,0,0,0,0,0,0,0,0,0,0,0,Datalogging,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,memo,
2018/10/02 13:50:15,0,0,0,0,0,0,0,0,0,0,0,Datalogging,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,memo,
2018/10/02 13:50:20,0,0,0,303,164,0,0,0,0,0,9.3,Datalogging,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,memo,
2018/10/02 13:50:25,7,0,0,1041,149,0,0,0,0,0,57.5,Datalogging,0,0,35,0.27,0.78,0.34,1.5,-1.23,0.33,memo,
2018/10/02 13:50:31,0,0,0,0,0,0,0,0,0,0,0,Datalogging,0,0,36,-0.71,1.36,0.57,1.5,4.41,0.45,memo,
2018/10/02 13:50:36,0,0,0,544,197,0,0,0,0,0,13.4,Datalogging,0,0,32,0.6,1.23,0.96,4.6,10.72,0.65,memo,
2018/10/02 13:50:41,4,0,0,2862,157,0,0,0,0,0,63.3,explorer,0,0,45,0.39,0.72,0.55,5.8,8.6,1,memo,
2018/10/02 13:50:46,6,0,0,2529,179,0,0,0,0,0,57.1,explorer,0,0,41,0.41,0.65,0.73,4.2,5.14,0.51,memo,
2018/10/02 13:50:51,1,0,0,3479,411,0,0,0,0,0,59,explorer,0,0,46,0.4,0.74,0.54,6,10.12,1,memo,
2018/10/02 13:50:56,4,0,0,5951,412,0,0,0,0,0,76.8,explorer,0,0,50,0.42,0.78,0.54,5.4,8.75,1,memo,
2018/10/02 13:51:01,0,0,0,1,1,0,0,0,0,0,3.1,explorer,0,0,42,1.58,1.69,0.72,3,4.07,0.43,memo,
2018/10/02 13:51:06,0,0,0,3863,746,0,0,0,0,0,28.6,explorer,0,0,49,0.42,0.87,0.77,5.5,8.19,0.94,memo,
2018/10/02 13:51:11,1,0,0,3055,261,0,0,0,0,0,27.9,pythonw,0,0,45,0.39,0.82,0.71,5.8,10.11,0.8,memo,
2018/10/02 13:51:16,0,0,0,2153,289,0,0,0,0,0,56.6,pythonw,0,0,43,-0.2,-0.13,0.78,3.2,9.57,0.41,memo,
2018/10/02 13:51:21,0,0,0,1515,202,0,0,0,0,0,13.8,explorer,0,0,48,0.63,0.17,0.95,2.7,1.82,0.46,memo,
2018/10/02 13:51:26,0,0,0,1042,87,0,0,0,0,0,48.9,ShellExperienceHost,0,0,51,0.46,0.66,0.53,5.7,8.72,1,memo,
2018/10/02 13:51:31,0,0,0,1,1,0,0,0,0,0,0,ShellExperienceHost,0,0,41,1.56,1.4,0.43,3.5,4.04,0.48,memo,
2018/10/02 13:51:36,0,0,0,0,0,0,0,0,0,0,0,ShellExperienceHost,0,0,34,1.36,1.41,0.9,2.6,2.74,0.25,memo,
2018/10/02 13:51:41,0,0,0,2415,454,0,0,0,0,0,21.2,ShellExperienceHost,0,0,46,0.74,1.06,0.77,4.8,5.85,0.77,memo,
2018/10/02 13:51:46,0,0,0,8939,669,0,0,0,0,0,76.6,pythonw,0,0,51,0.45,0.82,0.51,8,12.38,0.87,memo,
2018/10/02 13:51:51,5,0,0,2525,840,0,0,0,0,0,58,pythonw,0,0,54,0.46,1.08,0.71,5.3,7.78,0,memo,
2018/10/02 13:51:56,6,0,0,838,56,0,0,0,0,0,39.8,pythonw,0,0,55,0.47,1,0.5,5.8,8.72,0,memo,
2018/10/02 13:52:01,7,0,0,794,108,0,0,0,0,0,42,pythonw,0,0,54,0.45,0.96,0.48,5.6,8.4,0,memo,
2018/10/02 13:52:06,5,0,0,755,76,0,0,0,0,0,52.6,pythonw,0,0,43,1.33,0.94,0.61,3.5,4.5,0.21,memo,
2018/10/02 13:52:11,5,0,0,559,47,0,0,0,0,0,55.8,pythonw,0,0,55,0.46,0.94,0.5,5.8,8.41,0.97,memo,
2018/10/02 13:52:16,0,0,0,0,0,0,0,0,0,0,0,pythonw,0,0,55,0.47,0.89,0.5,5.8,8.64,1,memo,
2018/10/02 13:52:21,3,0,0,1680,123,0,0,0,0,0,64.4,pythonw,0,0,51,0.42,0.85,0.46,5.4,8.04,0.53,memo,
2018/10/02 13:52:26,4,0,0,2310,220,0,0,0,0,0,75.9,pythonw,0,0,50,0.6,1,0.67,4.5,5.91,0.62,memo,
2018/10/02 13:52:31,0,0,0,392,138,0,0,0,0,0,7.3,pythonw,0,0,36,0.44,0.69,0.59,3.5,0.88,0.65,memo,
2018/10/02 13:52:36,4,0,0,1130,83,0,0,0,0,0,79.2,pythonw,0,0,36,0.73,1.15,1.13,4,5.41,0.63,memo,
2018/10/02 13:52:41,0,0,0,1752,1054,0,0,0,0,0,0.3,pythonw,0,0,40,0.46,0.81,0.52,5.8,8.65,1,memo,
2018/10/02 13:52:46,1,0,0,2510,341,0,0,0,0,0,63.8,pythonw,0,0,33,1.13,1.3,0.82,3.5,4.62,0.49,memo,
2018/10/02 13:52:51,1,0,0,3411,574,0,0,0,0,0,39.8,pythonw,0,0,35,1,1.01,0.44,4.3,6.04,0.65,memo,
2018/10/02 13:52:56,0,0,0,0,0,0,0,0,0,0,0,pythonw,0,0,33,1.19,1.72,1.72,3.8,5.57,0.39,memo,
2018/10/02 13:53:01,0,0,0,200,88,0,0,0,0,0,11.3,pythonw,0,0,38,0.45,1.02,-0.24,4.1,5.27,0.8,memo,
2018/10/02 13:53:06,0,0,0,378,159,0,0,0,0,0,9.3,pythonw,0,0,42,0.49,0.79,0.5,5.5,8.11,0.91,memo,
2018/10/02 13:53:11,4,0,0,1801,368,0,0,0,0,0,55.7,pythonw,0,0,45,0.44,0.88,0.47,7.6,10.97,0.21,memo,
2018/10/02 13:53:16,6,0,0,1078,97,0,0,0,0,0,90.2,pythonw,0,0,38,0.82,0.95,0.9,3.5,4.53,0,memo,
2018/10/02 13:53:21,5,0,0,2700,276,0,0,0,0,0,31.5,chrome,0,0,48,0.44,0.85,0.5,5.3,7.71,0.5,memo,
2018/10/02 13:53:26,0,0,0,0,0,0,5,0,4,0,0,chrome,0,0,43,0.46,0.74,0.47,5.4,6.98,0.82,memo,
2018/10/02 13:53:31,0,0,0,0,0,0,4,0,5,1,0,chrome,0,0,44,0.47,0.77,0.5,5.8,8.81,1,memo,
2018/10/02 13:53:36,0,0,0,0,0,0,2,0,2,2,0,chrome,0,0,36,1.08,1.34,0.61,3.7,5.19,0.58,memo,
2018/10/02 13:53:41,0,0,2,1724,653,0,0,0,0,1,25.3,chrome,0,0,40,0.44,0.63,0.88,5.4,7.5,0.81,memo,
2018/10/02 13:53:46,2,0,4,2595,345,0,0,0,0,0,89,chrome,0,0,45,0.48,0.71,0.5,5.8,8.71,1,memo,
2018/10/02 13:53:51,0,0,0,1369,144,0,0,0,0,0,48.2,chrome,0,0,48,0.46,0.72,0.5,5.9,10.38,0.97,memo,
2018/10/02 13:53:56,10,0,0,1503,118,0,0,0,0,0,51.5,chrome,0,0,47,0.45,0.88,0.48,5.6,8.31,0.94,memo,
