TimeStamp,clickCNTL,clickCNTR,clickCNTM,MouseDisplacement,MouseSpeedMax,MouseWheelAmount,KeyTypeCNT,KeyTypeDelCNT,KeyTypeBackCNT,KeyTypeEnterCNT,Curvature,AppName,FFT0,FFT1,Compass,Posture_RightLeft,Posture_Rear,Posture_Front,Sag,Rotation,SittingStatus,Memo,
2018/06/27 9:43:42,5,0,0,3830,1387,0,0,0,0,0,55.5,Datalogging,8,1,44,0.49,0.3,-0.89,0.3,-10.58,0.8,memo,
2018/06/27 9:43:47,2,0,0,3178,322,0,0,0,0,0,58.4,chrome,9,0,49,0.5,0.25,0.5,0.4,-12.72,1,memo,
2018/06/27 9:43:52,2,0,1,5364,372,0,0,0,0,0,68.3,explorer,17,0,47,0.47,0.23,0.47,0.2,-11.73,0.88,memo,
2018/06/27 9:43:57,0,0,0,2848,212,0,0,0,0,0,68.4,chrome,16,0,46,0.09,-0.5,0.47,0.2,-10.35,0.8,memo,
2018/06/27 9:44:02,1,0,0,4682,357,0,0,0,0,0,71.2,chrome,14,0,38,0.4,-0.78,-0.29,-0.8,-6.64,0.52,memo,
2018/06/27 9:44:07,2,0,0,3019,557,0,0,0,0,0,70.4,chrome,13,0,50,0.5,0.24,0.5,0.2,-12.86,1,memo,
2018/06/27 9:44:12,3,0,0,2051,369,0,0,0,0,0,51.4,chrome,12,0,36,0.47,-0.16,-0.67,0.2,-5.5,0.42,memo,
2018/06/27 9:44:17,1,0,0,1908,399,0,0,0,0,0,35.8,chrome,20,0,41,0.49,-0.11,-0.17,0.2,-7.72,0.55,memo,
2018/06/27 9:44:22,1,0,0,1210,122,0,0,0,0,0,50.3,chrome,17,1,45,0.47,-0.13,0.07,0.2,-10.5,0.74,memo,
2018/06/27 9:44:27,0,0,0,0,0,0,0,0,0,0,0,chrome,19,0,35,-0.63,-0.69,-0.46,-0.4,-4.05,0.27,memo,
2018/06/27 9:44:32,0,0,0,0,0,0,0,0,0,0,0,chrome,12,0,45,0.45,-0.75,0.47,-0.2,-10,0.77,memo,
2018/06/27 9:44:37,0,0,0,0,0,0,0,0,0,0,0,chrome,15,0,43,0.13,-0.01,-1,0.2,-8.55,0.63,memo,
2018/06/27 9:44:42,1,0,0,919,139,0,0,0,0,0,39.3,chrome,17,0,52,0.5,0.27,0.5,0.2,-12.14,1,memo,
2018/06/27 9:44:47,0,0,0,300,97,0,0,0,1,0,8.7,chrome,18,0,40,0.1,-0.66,0.4,-0.5,-7.19,0.53,memo,
2018/06/27 9:44:52,0,0,0,1126,70,0,0,0,0,0,50,chrome,18,0,48,0.52,-0.12,0.09,0.2,-8.62,0.67,memo,
2018/06/27 9:44:57,0,0,0,10,10,0,0,0,0,0,0,chrome,20,0,51,0.48,0.34,0.48,0.2,-12.09,0.91,memo,
2018/06/27 9:45:02,0,0,1,1229,185,0,0,0,0,0,69.4,chrome,20,0,46,1.17,-1.49,0.4,0.1,-7.25,0.56,memo,
