Time,Compass_mean,Compass_std,KeyTypeBack_Count,KeyTypeDel_Count,KeyTypeEnter_Count,KeyTypeEnter_raito,KeyType_Count,Lclick_Mean,Lclick_Std,Lclick_cnt,Lclick_doubleclick,Lclick_oneclick,Mclick_Mean,Mclick_Std,MouseSpeed_Max,MouseWheel_Mean,Mousedisplacement_Sum,Mousedisplacement_lower50,Posture_Front_Max,Posture_Front_Mean,Posture_Front_Std,Posture_Front_diffMax,Posture_Front_upperRaito,Posture_Rear_Max,Posture_Rear_Mean,Posture_Rear_Std,Posture_Rear_diffMax,Posture_Rear_upperRaito,Posture_RightLeft_Max,Posture_RightLeft_Mean,Posture_RightLeft_Std,Posture_RightLeft_diffMax,Posture_RightLeft_upperRaito,Q1,Q2,Q3,Q4,Rclick_Mean,Rclick_Std,Rotation_Max,Rotation_Mean,Rotation_Min,Rotation_Std,Rotation_lower05,Sag_mean,Sag_std,mistyping_Count,mistyping_raito
2018-10-02 14:05:21,45.12396694214876,5.5999557259170745,10.0,1.0,17.0,0.34,50.0,2.396694214876033,2.5576008902973077,85.0,16.0,23.0,0.2231404958677686,0.7470787922054049,796.0,0.0,216184.0,0.10743801652892562,1.0,0.6504132231404958,0.18998419536992575,0.51,0.5950413223140496,1.0,0.8547933884297522,0.1528294211070723,0.42000000000000004,0.4049586776859504,1.0,0.6557024793388428,0.20155159160159208,0.54,0.5867768595041323,2.0,2.0,3.0,2.0,0.01652892561983471,0.12802806166228836,15.32,6.771322314049588,1.81,1.963699290518094,0.0,4.7991735537190054,0.9916733221991163,5.0,0.22
2018-10-02 14:15:21,45.59504132231405,5.38760694000081,25.0,2.0,4.0,0.06557377049180328,61.0,2.628099173553719,3.2432808270971525,83.0,19.0,22.0,0.10743801652892562,0.4242965333459212,738.0,0.0,234857.0,0.1322314049586777,1.0,0.6738016528925618,0.19778041779688865,0.5800000000000001,0.5785123966942148,1.0,0.8622314049586777,0.14973580958533686,0.49,0.4462809917355372,1.0,0.6415702479338841,0.22478140590531803,0.75,0.5619834710743802,2.0,2.0,3.0,2.0,0.0,0.0,11.1,6.569752066115696,0.44,1.9607653534652894,0.008264462809917356,4.737190082644632,1.140111999717934,5.0,0.4426229508196721
2018-10-02 14:20:16,45.78512396694215,8.309840162492344,80.0,2.0,13.0,0.09219858156028368,141.0,1.3884297520661157,1.8769296773651674,67.0,14.0,28.0,0.09917355371900827,0.41643244105308647,632.0,0.0,159756.0,0.2975206611570248,1.0,0.6718181818181819,0.20651472909536825,0.61,0.5702479338842975,1.0,0.951074380165289,0.07770458644649576,0.27,0.34710743801652894,1.0,0.5681818181818183,0.27893547640986793,0.9,0.5702479338842975,3.0,4.0,3.0,2.0,0.0,0.0,11.1,6.460330578512397,0.44,1.944956269381696,0.008264462809917356,4.6256198347107444,1.0435938646187857,8.0,0.5815602836879432
2018-10-02 14:30:16,70.77685950413223,14.349499180172215,20.0,0.0,10.0,0.2222222222222222,45.0,0.6033057851239669,1.5731038260022558,22.0,4.0,6.0,0.08264462809917356,0.6530285453115638,548.0,0.0,50611.0,0.7768595041322314,1.0,0.8402479338842974,0.20836851493574762,0.63,0.34710743801652894,1.0,0.9691735537190082,0.057858833622007715,0.21999999999999997,0.23140495867768596,1.0,0.7774380165289253,0.23194298482464693,0.73,0.4214876033057851,3.0,4.0,3.0,2.0,0.0,0.0,12.44,6.466280991735538,0.73,1.9189863349484824,0.0,4.638842975206611,0.9765903184743031,4.0,0.4444444444444444
2018-10-02 14:35:19,69.36666666666666,17.569996070140764,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.12855586584927853,2.0,0.0,2.0,0.0,0.0,514.0,0.0,4890.0,0.9833333333333333,1.0,0.87825,0.16791685867884565,0.54,0.325,1.0,0.9244166666666666,0.1313587418012941,0.43000000000000005,0.2833333333333333,1.0,0.8225000000000001,0.18287273436679927,0.6,0.5083333333333333,3.0,3.0,3.0,3.0,0.0,0.0,14.34,6.424833333333336,-0.14,2.0658979708035696,0.008333333333333333,4.613333333333338,1.0868142739706916,1.0,0.0
2018-10-02 14:45:19,44.675,5.307617009480595,5.0,0.0,11.0,0.2682926829268293,41.0,0.9166666666666666,2.1482192482089326,37.0,5.0,16.0,0.13333333333333333,0.4839149403229734,1065.0,0.0,105872.0,0.4666666666666667,1.0,0.6655000000000001,0.19755586381510193,0.6,0.6166666666666667,1.0,0.8702500000000001,0.14965204741037658,0.5,0.425,1.0,0.6655833333333333,0.21616907416985212,0.63,0.5666666666666667,3.0,3.0,3.0,3.0,0.0,0.0,9.89,6.476916666666667,2.4,1.865573467528175,0.0,4.6575000000000015,1.1552337971382334,3.0,0.12195121951219512
2018-10-02 14:50:15,46.75,9.70077533070459,0.0,0.0,2.0,0.5,4.0,0.7666666666666667,1.8504295814362517,38.0,6.0,19.0,0.16666666666666666,0.5987849508520963,1065.0,0.0,133261.0,0.35,1.0,0.6617499999999996,0.20158474040220703,0.53,0.625,1.0,0.8979999999999996,0.13649637542514334,0.43999999999999995,0.36666666666666664,1.0,0.5851666666666664,0.2111870545009696,0.64,0.5666666666666667,4.0,4.0,3.0,2.0,0.0,0.0,12.21,6.809833333333335,0.47,1.820952278034642,0.008333333333333333,4.833333333333334,0.9673087792994555,1.0,0.0
2018-10-02 15:00:15,45.7,6.449024419738735,13.0,1.0,24.0,0.5714285714285714,42.0,1.7833333333333334,2.5043938978360023,72.0,21.0,20.0,0.125,0.4594936928636917,776.0,0.0,175575.0,0.18333333333333332,1.0,0.6605,0.3039732683956925,1.8199999999999998,0.5583333333333333,1.0,0.8934166666666665,0.16737466567997844,0.9,0.4083333333333333,1.0,0.6024166666666665,0.2721405835205023,1.0,0.5333333333333333,4.0,4.0,3.0,2.0,0.008333333333333333,0.09128709291752768,14.11,6.608750000000002,1.12,2.2890824415843456,0.0,4.755833333333332,1.0768609714446564,4.0,0.3333333333333333
2018-10-02 15:05:11,49.25833333333333,8.592057924836956,13.0,1.0,20.0,0.6451612903225806,31.0,1.575,1.570005084828247,77.0,23.0,20.0,0.075,0.2945584931424539,743.0,0.0,210770.0,0.1,1.0,0.6985000000000002,0.19225180441941508,0.5800000000000001,0.5666666666666667,1.0,0.9315000000000002,0.09912770813959333,0.29000000000000004,0.3416666666666667,1.0,0.4685000000000002,0.3312863901051589,1.0,0.45,4.0,4.0,3.0,1.0,0.05,0.21885876647707228,13.96,6.578166666666669,1.12,2.2201408023080043,0.0,4.663333333333336,1.054317520566584,4.0,0.45161290322580644
2018-10-02 15:15:11,55.525,11.325558587148112,0.0,0.0,1.0,0.25,4.0,0.4083333333333333,1.2800724331746487,14.0,3.0,2.0,0.016666666666666666,0.12855586584927872,876.0,0.0,47520.0,0.8416666666666667,1.0,0.8309999999999998,0.21834134096975424,0.52,0.375,1.0,0.9494999999999998,0.0925534140579454,0.35,0.3,1.0,0.7169999999999999,0.2374818878542604,0.75,0.4083333333333333,4.0,4.0,3.0,1.0,0.0,0.0,19.54,6.556416666666667,-0.96,2.533573155480944,0.0,4.670833333333334,1.0645862283230112,1.0,0.0
2018-10-02 15:20:19,47.85,18.862015540554008,0.0,0.0,1.0,1.0,0.0,0.008333333333333333,0.09128709291752768,1.0,0.0,1.0,0.0,0.0,876.0,0.0,7254.0,0.975,1.0,0.7172499999999998,0.36756514885862357,2.78,0.43333333333333335,1.0,0.89425,0.17811176974307003,0.52,0.325,1.0,0.6807499999999999,0.30658093506919043,1.74,0.4583333333333333,4.0,4.0,3.0,1.0,0.0,0.0,15.81,6.207416666666671,-6.54,2.772499856660424,0.016666666666666666,4.535000000000001,1.1700499163380549,1.0,0.0
2018-10-02 15:30:19,38.108333333333334,17.341258826944518,8.0,0.0,2.0,0.3333333333333333,6.0,0.125,0.4008918628686366,12.0,3.0,9.0,0.14166666666666666,0.5070234995852294,848.0,0.0,105963.0,0.725,1.0,0.6254166666666666,0.2512921090874839,0.83,0.6083333333333333,1.0,0.7897499999999998,0.2146424132044234,0.97,0.4666666666666667,1.0,0.6246666666666667,0.3133820213677335,2.17,0.525,4.0,4.0,3.0,1.0,0.0,0.0,19.29,6.5044999999999975,-6.24,3.615838141037963,0.016666666666666666,4.6791666666666645,1.123312615656478,2.0,1.3333333333333333
2018-10-02 15:35:07,38.80165289256198,15.940838452807695,0.0,0.0,0.0,0.0,0.0,0.01652892561983471,0.18181818181818182,1.0,1.0,0.0,0.0,0.0,1336.0,0.0,16318.0,0.9669421487603306,1.0,0.6369421487603308,0.2342286737898337,0.83,0.5867768595041323,1.0,0.8835537190082643,0.16098063809110816,0.86,0.371900826446281,1.0,0.5646280991735536,0.3261238040026977,2.17,0.5371900826446281,1.0,1.0,3.0,1.0,0.0,0.0,18.79,6.2804132231404965,-2.48,2.7288878677018507,0.008264462809917356,4.637190082644628,0.9155264634264593,1.0,0.0
2018-10-02 15:45:07,43.53719008264463,5.428384232154245,6.0,2.0,4.0,0.21052631578947367,19.0,1.7685950413223142,3.193118461573556,59.0,16.0,16.0,0.14049586776859505,0.6494328952243245,1336.0,0.0,247121.0,0.38016528925619836,1.0,0.6433057851239669,0.20049267829421297,0.64,0.6033057851239669,1.0,0.8900826446280993,0.15440474878150934,0.55,0.36363636363636365,1.0,0.5725619834710742,0.2750652314319273,0.78,0.5289256198347108,1.0,1.0,3.0,1.0,0.008264462809917356,0.0909090909090909,15.46,6.332479338842977,0.83,2.09860123296119,0.0,4.608264462809918,1.0842498771700417,3.0,0.42105263157894735
2018-10-02 15:50:05,42.733333333333334,5.467602570702122,3.0,2.0,3.0,0.25,12.0,8.208333333333334,8.49210788665237,103.0,16.0,13.0,0.041666666666666664,0.23889920286943755,1072.0,0.0,262613.0,0.08333333333333333,1.0,0.6542499999999998,0.19921974902946082,0.5900000000000001,0.6083333333333333,1.0,0.9094166666666667,0.13962311716165904,1.07,0.35,1.0,0.5149999999999998,0.25621681994656287,0.78,0.5833333333333334,1.0,1.0,3.0,2.0,0.008333333333333333,0.09128709291752772,13.6,6.537000000000001,2.29,1.8569544959422135,0.0,4.7075,0.9961406619987936,3.0,0.4166666666666667
2018-10-02 16:00:05,47.75,7.495937274967828,31.0,73.0,10.0,0.35714285714285715,28.0,2.5416666666666665,2.2073057965655383,94.0,17.0,18.0,0.041666666666666664,0.30114161869426787,799.0,0.0,229744.0,0.08333333333333333,1.0,0.6929166666666666,0.20403655889802402,0.64,0.575,1.0,0.9362499999999998,0.0978771524656798,0.31000000000000005,0.30833333333333335,1.0,0.5318333333333335,0.2821763657724725,0.72,0.5916666666666667,1.0,1.0,3.0,2.0,0.008333333333333333,0.09128709291752775,13.02,6.568833333333333,-4.74,2.17091127647081,0.0,4.747499999999999,1.1004935867390513,7.0,3.7142857142857144
2018-10-02 16:05:10,45.03333333333333,4.77200050246416,20.0,6.0,9.0,0.4090909090909091,22.0,1.875,2.2772624727395607,78.0,18.0,25.0,0.1,0.5710082487741023,890.0,0.0,277203.0,0.08333333333333333,1.0,0.6674999999999996,0.20382992580939183,0.5800000000000001,0.5916666666666667,1.0,0.9522499999999996,0.07983662414344582,0.32999999999999996,0.2916666666666667,1.0,0.5506666666666665,0.28152565545234265,0.72,0.5666666666666667,3.0,2.0,3.0,2.0,0.0,0.0,11.28,6.709749999999997,2.78,1.7265613868869745,0.0,4.717500000000001,1.1783525388789016,5.0,1.1818181818181819
2018-10-02 16:15:10,51.041666666666664,9.855592477432927,0.0,22.0,2.0,2.0,0.0,1.7666666666666666,1.5863563945861145,91.0,22.0,34.0,0.0,0.0,870.0,0.0,271131.0,0.025,1.0,0.6681666666666665,0.1954352321665384,0.61,0.5583333333333333,1.0,0.9704999999999997,0.05943501500297077,0.38,0.3333333333333333,1.0,0.5794166666666667,0.2878704652476609,0.95,0.5,3.0,2.0,3.0,2.0,0.03333333333333333,0.18025814045107516,14.86,6.458416666666666,-0.14,2.089602509679624,0.008333333333333333,4.621666666666666,0.9719756656819507,4.0,22.0
