,Accuracy,Fmeasure,MAE,Precision,Recall
0,0.625,0.5952380952380952,0.5,0.625,0.625
1,0.125,0.05555555555555556,0.875,0.03571428571428571,0.125
2,0.375,0.375,0.75,0.375,0.375
3,0.25,0.20833333333333331,0.75,0.1875,0.25
4,0.625,0.6250000000000001,0.375,0.625,0.625
5,0.375,0.2833333333333333,0.625,0.22916666666666666,0.375
6,0.5,0.5625,0.75,0.75,0.5
7,0.25,0.20714285714285716,1.0,0.17708333333333331,0.25
8,0.42857142857142855,0.42857142857142855,0.5714285714285714,0.42857142857142855,0.42857142857142855
9,0.5714285714285714,0.636734693877551,0.42857142857142855,0.9047619047619048,0.5714285714285714
