,Accuracy,Fmeasure,Precision,Recall
0,0.25,0.19047619047619047,0.15625,0.25
1,0.375,0.4,0.6666666666666666,0.375
2,0.375,0.47916666666666663,0.6666666666666666,0.375
3,0.5,0.4583333333333333,0.4375,0.5
4,0.625,0.6428571428571428,0.6875,0.625
5,0.375,0.3571428571428572,0.35416666666666663,0.375
6,0.25,0.23660714285714288,0.24166666666666667,0.25
7,0.5,0.56875,0.7083333333333334,0.5
8,0.5714285714285714,0.41904761904761906,0.3333333333333333,0.5714285714285714
9,0.14285714285714285,0.2285714285714286,0.5714285714285714,0.14285714285714285
