,Accuracy,Fmeasure,Precision,Recall
0,0.375,0.3650793650793651,0.3666666666666667,0.375
1,0.375,0.38333333333333336,0.4375,0.375
2,0.375,0.41071428571428575,0.4583333333333333,0.375
3,0.5,0.5,0.5,0.5
4,0.375,0.5,0.75,0.375
5,0.625,0.5809523809523809,0.6041666666666666,0.625
6,0.375,0.41666666666666663,0.5,0.375
7,0.375,0.3625,0.44791666666666663,0.375
8,0.5714285714285714,0.5102040816326531,0.4642857142857143,0.5714285714285714
9,0.5714285714285714,0.5238095238095237,0.5714285714285714,0.5714285714285714
