,Accuracy,Fmeasure,Precision,Recall
0,0.125,0.14285714285714288,0.16666666666666666,0.125
1,0.5,0.5000000000000001,0.725,0.5
2,0.625,0.5979166666666667,0.6625,0.625
3,0.25,0.25892857142857145,0.425,0.25
4,0.5,0.475,0.4583333333333333,0.5
5,0.375,0.30000000000000004,0.25,0.375
6,0.125,0.0625,0.041666666666666664,0.125
7,0.375,0.3142857142857143,0.2708333333333333,0.375
8,0.8571428571428571,0.8530612244897959,0.8928571428571429,0.8571428571428571
9,0.5714285714285714,0.4904761904761905,0.5238095238095238,0.5714285714285714
